time,seconds_elapsed,temperature
1752116526764000000,213.276,33
1752116527764000000,214.276,33
1752116528764000000,215.276,33
1752116529767000000,216.279,33
1752116530768000000,217.28,33
1752116531767000000,218.279,33
1752116532769000000,219.281,33
1752116533770000000,220.28199975585937,33
1752116534776000000,221.288,33
1752116535776000000,222.288,33
1752116536777000000,223.289,33
1752116537777000000,224.289,33
1752116538778000000,225.28999975585938,33
1752116539778000000,226.28999975585938,33
1752116540780000000,227.292,33
1752116541781000000,228.293,33
1752116542782000000,229.29400024414062,33
1752116543781000000,230.293,33
1752116544782000000,231.29400024414062,33
1752116545782000000,232.29400024414062,33
1752116546783000000,233.295,33
1752116547783000000,234.295,33
1752116548783000000,235.295,33
1752116549783000000,236.295,33
1752116550786000000,237.29799975585937,33
1752116551787000000,238.299,33
1752116552789000000,239.301,33
1752116553787000000,240.299,33
1752116554788000000,241.3,33
1752116555788000000,242.3,33
1752116556789000000,243.301,33
1752116557790000000,244.30200024414063,33
1752116558793000000,245.305,33
1752116559795000000,246.307,33
1752116560794000000,247.30599975585938,33
1752116561793000000,248.305,33
1752116562793000000,249.305,33
1752116563795000000,250.307,33
1752116564794000000,251.30599975585938,33
1752116565795000000,252.307,33
1752116566795000000,253.307,33
1752116567796000000,254.308,33
1752116568797000000,255.309,33
1752116569800000000,256.312,33
1752116570803000000,257.315,33
1752116571803000000,258.315,33
1752116572803000000,259.315,33
1752116573807000000,260.319,33
1752116574811000000,261.323,33
1752116575804000000,262.316,33
1752116576806000000,263.31800024414065,33
1752116577806000000,264.31800024414065,33
1752116578814000000,265.32600024414063,33
1752116579811000000,266.323,33
1752116580814000000,267.32600024414063,33
1752116581814000000,268.32600024414063,33
1752116582817000000,269.329,33
1752116583819000000,270.331,33
1752116584817000000,271.329,33
1752116585822000000,272.3340002441406,33
1752116586829000000,273.341,33
1752116587822000000,274.3340002441406,33
1752116588826000000,275.33799975585936,33
1752116589825000000,276.337,33
1752116590825000000,277.337,33
1752116591826000000,278.33799975585936,33
1752116592827000000,279.339,33
1752116593826000000,280.33799975585936,33
1752116594826000000,281.33799975585936,33
1752116595827000000,282.339,33
1752116596827000000,283.339,33
1752116597826000000,284.33799975585936,33
1752116598830000000,285.34200024414065,33
1752116599828000000,286.34,33
1752116600827000000,287.339,33
1752116601829000000,288.341,33
1752116602831000000,289.343,33
1752116603832000000,290.344,33
1752116604834000000,291.3459997558594,33
1752116605834000000,292.3459997558594,33
1752116606835000000,293.347,33
1752116607837000000,294.349,33
1752116608839000000,295.351,33
1752116609839000000,296.351,33
1752116610840000000,297.352,33
1752116611843000000,298.355,33
1752116612841000000,299.353,33
1752116613841000000,300.353,33
1752116614842000000,301.3539997558594,33
1752116615842000000,302.3539997558594,33
1752116616844000000,303.356,33
1752116617845000000,304.357,33
1752116618847000000,305.359,33
1752116619848000000,306.36,33
1752116620849000000,307.361,33
1752116621848000000,308.36,33
1752116622848000000,309.36,33
1752116623850000000,310.36199975585936,33
1752116624851000000,311.363,33
1752116625850000000,312.36199975585936,33
1752116626855000000,313.367,33
1752116627856000000,314.368,33
1752116628856000000,315.368,33
1752116629856000000,316.368,33
1752116630856000000,317.368,33
1752116631858000000,318.3699997558594,33
1752116632858000000,319.3699997558594,33
1752116633859000000,320.371,33
1752116634862000000,321.37400024414063,33
1752116635860000000,322.372,33
1752116636861000000,323.373,33
1752116637863000000,324.375,33
1752116638863000000,325.375,33
1752116639865000000,326.377,33
1752116640866000000,327.3779997558594,33
1752116641865000000,328.377,33
1752116642867000000,329.379,33
1752116643868000000,330.38,33
1752116644870000000,331.3820002441406,33
1752116645870000000,332.3820002441406,33
1752116646871000000,333.383,33
1752116647871000000,334.383,33
1752116648872000000,335.384,33
1752116649871000000,336.383,33
1752116650873000000,337.385,33
1752116651874000000,338.38599975585936,33
1752116652874000000,339.38599975585936,33
1752116653874000000,340.38599975585936,33
1752116654876000000,341.388,33
1752116655878000000,342.39000024414065,33
1752116656881000000,343.393,33
1752116657882000000,344.3939997558594,33
1752116658883000000,345.395,33
1752116659884000000,346.396,33
1752116660886000000,347.39800024414063,33
1752116661886000000,348.39800024414063,33
1752116662885000000,349.397,33
1752116663888000000,350.4,33
1752116664887000000,351.399,33
1752116665890000000,352.4019997558594,33
1752116666891000000,353.403,33
1752116667893000000,354.405,33
1752116668894000000,355.4060002441406,33
1752116669893000000,356.405,33
1752116670895000000,357.407,33
1752116671897000000,358.409,33
1752116672898000000,359.40999975585936,33
