time,seconds_elapsed,z,y,x
1752116313557404200,0.069404052734375,10.146000862121582,4.017000198364258,0.49995002150535583
1752116313567257900,0.0792578125,10.495050430297852,3.283950090408325,0.7540500164031982
1752116313577083000,0.089082763671875,10.476000785827637,2.329050064086914,1.3069500923156738
1752116313586964700,0.09896484375,9.822000503540039,1.5220500230789185,2.1060001850128174
1752116313596818400,0.108818359375,9.358050346374512,1.4449501037597656,2.9419500827789307
1752116313606672100,0.118672119140625,8.716050148010254,0.9930000305175781,3.6480002403259277
1752116313616525300,0.128525390625,7.5859503746032715,-0.25394999980926514,3.687000274658203
1752116313626379000,0.13837890625,6.054000377655029,-0.43605002760887146,2.9250001907348633
1752116313636232400,0.148232421875,4.183950424194336,0.6240000128746033,2.182950019836426
1752116313646086000,0.1580859375,2.9220001697540283,1.6819500923156738,1.5289500951766968
1752116313655939600,0.167939697265625,1.990950107574463,5.251950263977051,1.585050106048584
1752116313665793000,0.17779296875,2.179949998855591,7.680000305175781,1.5679501295089722
1752116313675646500,0.187646484375,2.5990500450134277,6.684000492095947,0.7510500550270081
1752116313685500400,0.19750048828125,5.467050075531006,4.090950012207031,-0.6790500283241272
1752116313695353900,0.207353759765625,11.427000999450684,2.8560001850128174,-1.0669500827789307
1752116313705207300,0.217207275390625,14.910000801086426,2.2159500122070312,-0.7350000143051147
1752116313715061000,0.22706103515625,16.797000885009766,2.6830501556396484,-0.16005000472068787
1752116313724914400,0.23691455078125,17.023950576782227,3.4710001945495605,0.11700000613927841
1752116313734768000,0.24676806640625,14.866950988769531,4.1509504318237305,0.8590500354766846
1752116313744621600,0.25662158203125,9.504000663757324,4.693950176239014,2.638050079345703
1752116313754475300,0.266475341796875,3.7699501514434814,4.900050163269043,5.775000095367432
1752116313764328700,0.27632861328125,1.3990501165390015,3.9280502796173096,5.928000450134277
1752116313774182100,0.28618212890625,10.129050254821777,1.714050054550171,4.774050235748291
1752116313848081200,0.3600810546875,6.3319501876831055,4.993950366973877,3.0930001735687256
