time,seconds_elapsed,batteryLevel,batteryState,lowPowerMode
1752116313487000000,-0.001,0.7599999904632568,unplugged,false
1752116314490000000,1.001999755859375,0.7599999904632568,unplugged,false
1752116315491000000,2.003,0.7599999904632568,unplugged,false
1752116316491000000,3.003,0.7599999904632568,unplugged,false
1752116317494000000,4.006000244140625,0.7599999904632568,unplugged,false
1752116318494000000,5.006000244140625,0.7599999904632568,unplugged,false
1752116319496000000,6.008,0.7599999904632568,unplugged,false
1752116320497000000,7.009,0.7599999904632568,unplugged,false
1752116321499000000,8.011,0.7599999904632568,unplugged,false
1752116322500000000,9.012,0.7599999904632568,unplugged,false
1752116323502000000,10.014000244140625,0.7599999904632568,unplugged,false
1752116324505000000,11.017,0.7599999904632568,unplugged,false
1752116325507000000,12.019,0.7599999904632568,unplugged,false
1752116326508000000,13.02,0.7599999904632568,unplugged,false
1752116327509000000,14.021,0.7599999904632568,unplugged,false
1752116328511000000,15.023,0.7599999904632568,unplugged,false
1752116329514000000,16.025999755859374,0.7599999904632568,unplugged,false
1752116330517000000,17.029,0.7599999904632568,unplugged,false
1752116331518000000,18.030000244140624,0.7599999904632568,unplugged,false
1752116332521000000,19.033,0.7599999904632568,unplugged,false
1752116333522000000,20.033999755859377,0.7599999904632568,unplugged,false
1752116334524000000,21.036,0.7599999904632568,unplugged,false
1752116335525000000,22.037,0.7599999904632568,unplugged,false
1752116336526000000,23.038000244140626,0.7599999904632568,unplugged,false
1752116337528000000,24.04,0.7599999904632568,unplugged,false
1752116338531000000,25.043,0.7599999904632568,unplugged,false
1752116339531000000,26.043,0.7599999904632568,unplugged,false
1752116340534000000,27.046000244140625,0.7599999904632568,unplugged,false
1752116341537000000,28.049,0.7599999904632568,unplugged,false
1752116342538000000,29.049999755859375,0.7599999904632568,unplugged,false
1752116343540000000,30.052,0.7599999904632568,unplugged,false
1752116344541000000,31.053,0.7599999904632568,unplugged,false
1752116345665000000,32.177,0.7599999904632568,unplugged,false
1752116346543000000,33.055,0.7599999904632568,unplugged,false
1752116347543000000,34.055,0.7599999904632568,unplugged,false
1752116348546000000,35.05799975585938,0.7599999904632568,unplugged,false
1752116349546000000,36.05799975585938,0.7599999904632568,unplugged,false
1752116350546000000,37.05799975585938,0.7599999904632568,unplugged,false
1752116351550000000,38.06200024414063,0.7599999904632568,unplugged,false
1752116352551000000,39.063,0.7599999904632568,unplugged,false
1752116353552000000,40.064,0.7599999904632568,unplugged,false
1752116354554000000,41.06599975585937,0.7599999904632568,unplugged,false
1752116355555000000,42.067,0.7599999904632568,unplugged,false
1752116356556000000,43.068,0.7599999904632568,unplugged,false
1752116357557000000,44.069,0.7599999904632568,unplugged,false
1752116358560000000,45.072,0.7599999904632568,unplugged,false
1752116359560000000,46.072,0.7599999904632568,unplugged,false
1752116360560000000,47.072,0.7599999904632568,unplugged,false
1752116361561000000,48.073,0.7599999904632568,unplugged,false
1752116362562000000,49.073999755859376,0.7599999904632568,unplugged,false
1752116363563000000,50.075,0.7599999904632568,unplugged,false
1752116364563000000,51.075,0.7599999904632568,unplugged,false
1752116365564000000,52.076,0.7599999904632568,unplugged,false
1752116366566000000,53.078000244140625,0.7599999904632568,unplugged,false
1752116367566000000,54.078000244140625,0.7599999904632568,unplugged,false
1752116368567000000,55.079,0.7599999904632568,unplugged,false
1752116369568000000,56.08,0.7599999904632568,unplugged,false
1752116370570000000,57.08199975585938,0.7599999904632568,unplugged,false
1752116371571000000,58.083,0.7599999904632568,unplugged,false
1752116372571000000,59.083,0.7599999904632568,unplugged,false
1752116373573000000,60.085,0.7599999904632568,unplugged,false
1752116374577000000,61.089,0.7599999904632568,unplugged,false
1752116375577000000,62.089,0.7599999904632568,unplugged,false
1752116376577000000,63.089,0.7599999904632568,unplugged,false
1752116377579000000,64.091,0.7599999904632568,unplugged,false
1752116378581000000,65.093,0.7599999904632568,unplugged,false
1752116379583000000,66.095,0.7599999904632568,unplugged,false
1752116380583000000,67.095,0.7599999904632568,unplugged,false
1752116381584000000,68.096,0.7599999904632568,unplugged,false
1752116382586000000,69.09799975585938,0.7599999904632568,unplugged,false
1752116383587000000,70.099,0.7599999904632568,unplugged,false
1752116384589000000,71.101,0.7599999904632568,unplugged,false
1752116385591000000,72.103,0.7599999904632568,unplugged,false
1752116386590000000,73.10200024414063,0.7599999904632568,unplugged,false
1752116387592000000,74.104,0.7599999904632568,unplugged,false
1752116388592000000,75.104,0.7599999904632568,unplugged,false
1752116389595000000,76.107,0.7599999904632568,unplugged,false
1752116390594000000,77.10599975585937,0.7599999904632568,unplugged,false
1752116391594000000,78.10599975585937,0.7599999904632568,unplugged,false
1752116392598000000,79.11000024414062,0.7599999904632568,unplugged,false
1752116393600000000,80.112,0.7599999904632568,unplugged,false
1752116394602000000,81.11399975585938,0.7599999904632568,unplugged,false
1752116395604000000,82.116,0.7599999904632568,unplugged,false
1752116396604000000,83.116,0.7599999904632568,unplugged,false
1752116397605000000,84.117,0.7599999904632568,unplugged,false
1752116398605000000,85.117,0.7599999904632568,unplugged,false
1752116399605000000,86.117,0.7599999904632568,unplugged,false
1752116400606000000,87.11800024414063,0.7599999904632568,unplugged,false
1752116401606000000,88.11800024414063,0.7599999904632568,unplugged,false
1752116402607000000,89.119,0.7599999904632568,unplugged,false
1752116403608000000,90.12,0.7599999904632568,unplugged,false
1752116404609000000,91.121,0.7599999904632568,unplugged,false
1752116405611000000,92.123,0.7599999904632568,unplugged,false
1752116406612000000,93.124,0.7599999904632568,unplugged,false
1752116407613000000,94.125,0.7599999904632568,unplugged,false
1752116408615000000,95.127,0.7599999904632568,unplugged,false
1752116409616000000,96.128,0.7599999904632568,unplugged,false
1752116410616000000,97.128,0.7599999904632568,unplugged,false
1752116411618000000,98.12999975585937,0.7599999904632568,unplugged,false
1752116412619000000,99.131,0.7599999904632568,unplugged,false
1752116413620000000,100.132,0.7599999904632568,unplugged,false
1752116414621000000,101.133,0.7599999904632568,unplugged,false
1752116415624000000,102.136,0.7599999904632568,unplugged,false
1752116416623000000,103.135,0.7599999904632568,unplugged,false
1752116417624000000,104.136,0.7599999904632568,unplugged,false
1752116418626000000,105.13799975585937,0.7599999904632568,unplugged,false
1752116419627000000,106.139,0.7599999904632568,unplugged,false
