time,seconds_elapsed,z,y,x
1752116313556326700,0.06832666015625,-64.625,-142.72500610351562,-46.525001525878906
1752116313576359200,0.088359130859375,-64.0875015258789,-142.875,-46.375
1752116313596416000,0.108416015625,-64.0999984741211,-142.8625030517578,-46.53750228881836
1752116313616456700,0.128456787109375,-64.0374984741211,-142.85000610351562,-46.75
1752116313636478000,0.14847802734375,-63.76250076293945,-142.85000610351562,-46.88750076293945
1752116313656470000,0.168469970703125,-63.51250076293945,-142.875,-47.025001525878906
1752116313676473300,0.188473388671875,-63.375,-142.8874969482422,-47.16250228881836
1752116313696466200,0.208466064453125,-63.3125,-142.85000610351562,-47.1875
1752116313716453400,0.228453369140625,-63.337501525878906,-142.6875,-47.07500076293945
1752116313736458000,0.2484580078125,-63.525001525878906,-142.4250030517578,-46.91250228881836
1752116313756453600,0.26845361328125,-63.72500228881836,-142.1125030517578,-46.712501525878906
1752116313776444700,0.288444580078125,-63.95000076293945,-141.77500915527344,-46.375
1752116313796452600,0.30845263671875,-64.1624984741211,-141.41250610351562,-45.78750228881836
1752116313816450600,0.328450439453125,-64.4625015258789,-141.03750610351562,-45.087501525878906
1752116313836451300,0.348451416015625,-64.82500457763672,-140.6374969482422,-44.3125
1752116313856453600,0.36845361328125,-65.0875015258789,-140.2375030517578,-43.400001525878906
1752116313876449000,0.388448974609375,-65.4749984741211,-139.7624969482422,-42.45000076293945
1752116313896448500,0.408448486328125,-65.8125,-139.2624969482422,-41.32500076293945
1752116313916451800,0.428451904296875,-66.1875,-138.71250915527344,-40.07500076293945
1752116313936447200,0.448447265625,-66.7125015258789,-138.125,-38.95000076293945
1752116313956444000,0.46844384765625,-67.20000457763672,-137.53750610351562,-37.85000228881836
1752116313976452600,0.48845263671875,-67.5999984741211,-137.0124969482422,-36.78750228881836
1752116313996452900,0.508452880859375,-68.0250015258789,-136.6125030517578,-35.837501525878906
1752116314016445200,0.528445068359375,-68.4000015258789,-136.3874969482422,-35.07500076293945
1752116314036446500,0.548446533203125,-68.7125015258789,-136.3249969482422,-34.400001525878906
1752116314056449800,0.56844970703125,-69.05000305175781,-136.35000610351562,-33.76250076293945
1752116314076455400,0.588455322265625,-69.36250305175781,-136.40000915527344,-33.29999923706055
1752116314096460000,0.6084599609375,-69.6624984741211,-136.4375,-33.087501525878906
1752116314116454400,0.628454345703125,-69.8499984741211,-136.5124969482422,-32.98749923706055
1752116314136455000,0.648454833984375,-70.01250457763672,-136.60000610351562,-32.962501525878906
1752116314156448300,0.6684482421875,-70.2750015258789,-136.72500610351562,-33.0625
1752116314176444200,0.688444091796875,-70.4124984741211,-136.9250030517578,-33.10000228881836
1752116314196448500,0.708448486328125,-70.6875,-137.16250610351562,-33.25
1752116314216444200,0.728444091796875,-71.11250305175781,-137.46250915527344,-33.48749923706055
1752116314236444000,0.74844384765625,-71.5999984741211,-137.78750610351562,-33.76250076293945
1752116314256447700,0.76844775390625,-72.17500305175781,-138.0749969482422,-34.07500076293945
1752116314276443400,0.788443359375,-72.67500305175781,-138.3249969482422,-34.275001525878906
1752116314296453000,0.808453125,-73.1624984741211,-138.52500915527344,-34.400001525878906
1752116314316451600,0.82845166015625,-73.57500457763672,-138.71250915527344,-34.462501525878906
1752116314336451800,0.848451904296875,-73.9375,-138.8249969482422,-34.53750228881836
1752116314356455400,0.868455322265625,-74.1500015258789,-138.9499969482422,-34.54999923706055
1752116314376450000,0.888449951171875,-74.4000015258789,-139.0749969482422,-34.57500076293945
1752116314396447000,0.908447021484375,-74.6500015258789,-139.25,-34.57500076293945
1752116314416451000,0.928451171875,-74.9625015258789,-139.3874969482422,-34.61249923706055
1752116314436446200,0.9484462890625,-75.2249984741211,-139.5749969482422,-34.76250076293945
1752116314456445400,0.968445556640625,-75.4749984741211,-139.71250915527344,-35.025001525878906
1752116314476449000,0.988448974609375,-75.82500457763672,-139.83750915527344,-35.42499923706055
1752116314496452900,1.008452880859375,-76.0374984741211,-139.9375,-35.66250228881836
1752116314516457500,1.02845751953125,-76,-140.0749969482422,-35.78750228881836
1752116314536453600,1.04845361328125,-76.0625,-140.1999969482422,-35.86249923706055
1752116314556452900,1.068452880859375,-76.125,-140.3249969482422,-35.9375
1752116314576444700,1.088444580078125,-76.13750457763672,-140.46250915527344,-36.07500076293945
1752116314596444700,1.108444580078125,-76.07500457763672,-140.5749969482422,-36.28750228881836
1752116314616445000,1.12844482421875,-76,-140.65000915527344,-36.47500228881836
1752116314636449300,1.14844921875,-75.9000015258789,-140.7375030517578,-36.775001525878906
1752116314656442400,1.1684423828125,-76.32500457763672,-140.7624969482422,-37.4375
1752116314676439600,1.188439453125,-76.45000457763672,-140.8249969482422,-37.875
1752116314696451600,1.20845166015625,-76.4000015258789,-140.875,-38.212501525878906
1752116314716453600,1.22845361328125,-76.38750457763672,-140.9375,-38.525001525878906
1752116314736448500,1.248448486328125,-76.1875,-140.97500610351562,-38.47500228881836
1752116314756447200,1.268447265625,-75.95000457763672,-141.0625,-38.38750076293945
1752116314776446000,1.288446044921875,-75.5250015258789,-141.1875,-38.25
1752116314796454100,1.3084541015625,-75.0999984741211,-141.33750915527344,-38.32500076293945
1752116314816451600,1.32845166015625,-74.6500015258789,-141.4875030517578,-38.45000076293945
1752116314836459500,1.34845947265625,-74.05000305175781,-141.6875,-38.63750076293945
1752116314856455200,1.368455078125,-73.13750457763672,-141.90000915527344,-38.775001525878906
1752116314876456400,1.38845654296875,-72.20000457763672,-142.1374969482422,-39.087501525878906
1752116314896443100,1.408443115234375,-71,-142.47500610351562,-39.51250076293945
1752116314916445400,1.428445556640625,-69.57500457763672,-142.8874969482422,-40.16250228881836
1752116314936447500,1.448447509765625,-67.80000305175781,-143.4250030517578,-40.712501525878906
1752116314956455700,1.46845556640625,-65.375,-144.0625,-41.03750228881836
1752116314976457500,1.48845751953125,-62.900001525878906,-144.7375030517578,-41.53750228881836
1752116314996444700,1.508444580078125,-60.32500076293945,-145.5,-42.150001525878906
1752116315016449000,1.528448974609375,-57.275001525878906,-146.35000610351562,-42.57500076293945
1752116315036448300,1.5484482421875,-54.212501525878906,-147.22500610351562,-43.3125
1752116315056450600,1.568450439453125,-51.03750228881836,-148.10000610351562,-43.91250228881836
1752116315076453600,1.58845361328125,-47.92499923706055,-148.9250030517578,-44.42499923706055
1752116315096445700,1.60844580078125,-44.88750076293945,-149.6999969482422,-44.8125
1752116315116446000,1.628446044921875,-42.04999923706055,-150.4375,-45.29999923706055
1752116315136451600,1.64845166015625,-39.150001525878906,-151.2375030517578,-45.587501525878906
1752116315156445400,1.668445556640625,-36.45000076293945,-152.1374969482422,-45.875
1752116315176441300,1.68844140625,-33.86249923706055,-153.15000915527344,-45.91250228881836
1752116315196447500,1.708447509765625,-31.537500381469727,-154.1999969482422,-45.76250076293945
1752116315216444400,1.7284443359375,-29.262500762939453,-155.25,-45.29999923706055
1752116315236441300,1.74844140625,-27.225000381469727,-156.16250610351562,-44.650001525878906
1752116315256442000,1.768442138671875,-25.5,-156.9875030517578,-44.03750228881836
1752116315276445000,1.78844482421875,-24.125,-157.8000030517578,-43.48749923706055
1752116315296454000,1.808453857421875,-23.0625,-158.5749969482422,-42.97500228881836
1752116315316448500,1.828448486328125,-22.387500762939453,-159.3000030517578,-42.53750228881836
1752116315336456700,1.848456787109375,-21.98750114440918,-160.02500915527344,-42.10000228881836
1752116315356457500,1.86845751953125,-21.637500762939453,-160.78750610351562,-41.6875
1752116315376451600,1.88845166015625,-21.350000381469727,-161.65000915527344,-41.38750076293945
1752116315396447000,1.908447021484375,-21.05000114440918,-162.6374969482422,-41.150001525878906
1752116315416446200,1.9284462890625,-20.73750114440918,-163.66250610351562,-40.79999923706055
1752116315436450600,1.948450439453125,-20.61250114440918,-164.6374969482422,-40.63750076293945
1752116315456448000,1.968447998046875,-20.55000114440918,-165.5500030517578,-40.48749923706055
1752116315476447500,1.988447509765625,-20.600000381469727,-166.3625030517578,-40.4375
1752116315496438300,2.008438232421875,-20.5,-167.08750915527344,-40.3125
1752116315516450800,2.028450927734375,-20.662500381469727,-167.75,-40.337501525878906
1752116315536451000,2.048451171875,-20.899999618530273,-168.4499969482422,-40.54999923706055
1752116315556460800,2.068460693359375,-21.075000762939453,-169.1374969482422,-40.70000076293945
1752116315576457000,2.08845703125,-21.25,-169.77500915527344,-40.837501525878906
1752116315596458200,2.108458251953125,-21.55000114440918,-170.375,-41.07500076293945
1752116315616451000,2.128451171875,-22,-170.9499969482422,-41.48749923706055
1752116315636450300,2.1484501953125,-22.387500762939453,-171.47500610351562,-41.82500076293945
1752116315656450300,2.1684501953125,-22.86250114440918,-171.9250030517578,-42.22500228881836
1752116315676456200,2.188456298828125,-23.287500381469727,-172.3125,-42.26250076293945
1752116315696452400,2.208452392578125,-23.600000381469727,-172.6374969482422,-42.1875
