time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1752116314137420000,0.649419921875,152.89999389648438,2.299999952316284,1.0401041507720947,1.625,0.16202640533447266,117.5920639038086,582.2000122070312,73.9188337,18.4509717
1752116314632324400,1.144324462890625,179.89999389648438,1.5,1.045053243637085,1.6200000047683716,0.1858317106962204,134.3101806640625,582.2000122070312,73.9188316,18.4509715
1752116315215498200,1.727498291015625,179.89999389648438,1.100000023841858,1.0508849620819092,1.5800000429153442,0.15036308765411377,189.43653869628906,582.2000122070312,73.9188274,18.4509703
1752116315736260600,2.248260498046875,162.39999389648438,1,1.056092619895935,1.600000023841858,0.17567984759807587,201.50274658203125,582.2000122070312,73.9188269,18.4509698
1752116316220385500,2.732385498046875,159.10000610351562,0.8999999761581421,1.0609338283538818,1.6160000562667847,0.18627329170703888,205.79737854003906,582.2000122070312,73.9188256,18.4509696
1752116316724294100,3.236294189453125,0,0.800000011920929,1.065972924232483,1.6660000085830688,0.0725502297282219,0,582.2000122070312,73.9188252,18.4509697
1752116317723361000,4.235361083984375,0,1.399999976158142,1.0759636163711548,1.684999942779541,0.02533634379506111,0,582.2000122070312,73.9188227,18.4509674
1752116318719646700,5.231646728515625,0,1.100000023841858,20.985105514526367,1.7000000476837158,0.046421296894550323,0,587.3999633789062,73.918822,18.4509632
1752116319723274200,6.235274169921875,0,1,20.995141983032227,1.7000000476837158,0.09759931266307831,0,587.3999633789062,73.9188206,18.4509559
1752116320723982800,7.23598291015625,179.89999389648438,0.800000011920929,21.00514793395996,1.7139999866485596,0.13778962194919586,194.56948852539062,587.3999633789062,73.9188153,18.4509537
1752116321719126300,8.231126220703125,179.89999389648438,0.800000011920929,21.015100479125977,1.75,0.11144305020570755,186.71383666992188,587.3999633789062,73.9188126,18.4509531
1752116322721219800,9.2332197265625,0,0.800000011920929,21.025121688842773,1.7660000324249268,0.04615399241447449,0,587.3999633789062,73.9188119,18.4509556
1752116323720665600,10.23266552734375,121.0999984741211,1.7999999523162842,2.135617971420288,1.7599999904632568,0.18577292561531067,55.16389846801758,582.2000122070312,73.9188144,18.4509589
1752116324719021800,11.231021728515625,42.400001525878906,2,2.145601511001587,1.7829999923706055,0.6089300513267517,57.26431655883789,582.2000122070312,73.9188278,18.4509626
1752116325721811000,12.23381103515625,20.600000381469727,2.0999999046325684,2.1556293964385986,1.815999984741211,1.4159023761749268,63.56704330444336,582.2000122070312,73.9188611,18.4509705
1752116326720639700,13.2326396484375,13.800000190734863,1.899999976158142,2.1656177043914795,1.8799999952316284,2.61186146736145,66.44439697265625,582.2000122070312,73.9189129,18.4509844
1752116327726501000,14.238501220703125,11,1.899999976158142,2.1756763458251953,1.9199999570846558,3.8546974658966064,67.89456939697266,582.2000122070312,73.9189787,18.4510025
1752116328720853500,15.232853515625,8.600000381469727,1.600000023841858,2.185619831085205,1.9600000381469727,5.2612690925598145,69.17084503173828,582.2000122070312,73.9190544,18.451023
1752116329720124400,16.23212451171875,7.099999904632568,1.399999976158142,2.1956124305725098,1.9800000190734863,6.46405553817749,69.26294708251953,582.2000122070312,73.9191374,18.451049
1752116330721971500,17.233971435546874,5.599999904632568,1.2000000476837158,2.2056310176849365,1.9800000190734863,8.257132530212402,65.99934387207031,582.2000122070312,73.9192259,18.4510811
1752116331723267000,18.23526708984375,5.300000190734863,1.2000000476837158,2.215643882751465,1.9600000381469727,8.625689506530762,66.97914123535156,582.2000122070312,73.9193109,18.4511144
1752116332724473300,19.236473388671875,5.099999904632568,1.100000023841858,2.225656032562256,1.9329999685287476,8.623607635498047,65.02655029296875,582.2000122070312,73.9193922,18.4511492
1752116333724778500,20.236778564453125,5.599999904632568,1.2000000476837158,2.235659122467041,1.8799999952316284,8.640807151794434,63.03300094604492,582.2000122070312,73.9194722,18.451186
