AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0.11530608034265795,-0.07258317869230786,-0.9925477355944057,-1.344632466804191,4.190199114251749,0.8980408905874129
0.2552601206153851,-0.124240261867133,-0.9639491370279721,-0.10585597611188335,3.7736614531748254,0.7726472003286727
0.34950466198135244,-0.1634979605571097,-0.943449291818182,0.6291037206806576,3.748963504703962,0.43331731900233306
0.403772740952215,-0.19092991987062952,-0.930545122346154,0.9485933913135252,3.9939322763951046,-0.028354596900930007
0.4237973940396277,-0.20710978491608412,-0.9247335509930072,0.9409598035268127,4.386394775804195,-0.5207743908904405
0.41531165775524587,-0.21261120080186538,-0.9255115001398626,0.694549725060608,4.804178010487192,-0.9523479064755271
0.3861564867575768,-0.20747457312820566,-0.932531823585084,0.3860744853263415,4.7913841885384745,-1.0687912595501197
0.31563740632867215,-0.18140388278321729,-0.9562271223846179,-0.1919962988578095,4.769479884153858,-0.9438068292027998
0.24007559833333394,-0.151928312587413,-0.9632377712913778,-0.445897613745922,4.5105073046153965,-0.5447605827972045
0.2143110795361311,-0.12915380520979056,-0.9822687890629396,-1.045712556939397,4.898147653981365,-0.24822505731701702
0.24451451862004725,-0.15231188074359014,-0.9749599359137555,-0.6483745260209808,4.460542002703974,0.20420292173193522
0.26725146595571164,-0.14872432248484888,-0.9791655285501192,-0.7241054109044309,3.464723571715627,0.5521984373986029
0.3213823936130545,-0.14893317948018686,-0.9755950431048976,-0.6228402637599084,2.802274061909098,0.756223420067601
0.4091899312097913,-0.15747354863869506,-0.9539012420699327,-0.35730173115617825,2.753162867678329,1.117635544855481
0.46212690304895226,-0.17884751970629417,-0.9495448399557136,0.014057189783216961,3.0459260839813593,0.9984697233846178
0.44664246885081704,-0.16833638386713332,-0.9403306654102588,0.125749568596737,3.2128507623636446,1.007028594512823
0.4010006921282062,-0.15630861682284425,-0.9685172412773919,0.10468157793240124,3.708179860706304,1.20037723068998
0.33996895049883535,-0.13744149750116585,-0.9574648983426598,-0.14181747012820545,3.5050801614335754,1.1634904533146884
0.33432184700000084,-0.1315496841655015,-0.9583048786433591,0.25852773172960447,4.221925656948729,1.476770049044293
0.33190491168531555,-0.1366032243752917,-0.9869979465338021,0.16836598509324066,5.462659477885795,1.2304667341212154
0.38181146674125976,-0.17070892986946432,-0.9689730840419606,-0.7075036923566452,5.845317532363653,1.0395558637808886
0.4081479231771573,-0.18408260043356695,-0.982343909335667,-1.3722664106014024,5.3707183402144665,0.8712610542424266
0.4203794254615395,-0.16975114740093286,-0.9707349942121237,-1.4758803538694678,5.260751970804209,0.2592039003589751
0.4246840401748263,-0.17758470378787927,-0.94090374152914,-1.0858200324778584,5.876278937489526,-0.01775832307459224
0.3505495156550126,-0.14694249447552488,-0.9488141255338021,-1.007170946158511,5.5946191214219265,-0.2681720314265742
0.2805022126736604,-0.11821926459673691,-0.9347290894685341,-0.7820601790209811,6.026690866501182,-0.46322888297669135
0.22992754324242484,-0.10579256366666694,-0.9361740150139886,-0.2975497785361311,5.867026103860155,-0.13637253328438279
0.24733209498834563,-0.09742064577855503,-0.904866536601401,-0.1835975728787882,5.199060481701645,0.2880834178578096
0.305773328188812,-0.11077838178787906,-0.9200208970979045,0.4102386163892787,5.737842310515166,0.7474332283939413
0.3566319746643366,-0.12732132771095603,-0.9329114081375316,0.06400469765734287,6.278937347829854,1.089912631941728
0.4321630516573438,-0.20431041942191197,-0.9634961391375316,-0.8436449047179511,5.569707646235446,0.8974536913053639
0.47664331097669127,-0.231992779372961,-0.9675520604871819,-0.6784462356923097,5.175928397487193,0.6737486430909109
